Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
50.4541666666667;2421538467.62577;2589073445.49273;2845471155.48402;131116479.745604;149541599.024592;99830647.3279556;0.0541459413090218;0.0577587319065537;0.0350840482552614
54.3416666666667;2345513389.72805;2503920560.59939;2728459405.23633;160696307.100276;137822219.898257;117539984.96737;0.068512210505397;0.0550425688685847;0.0430792500492375
58.0583333333333;2276483467.12371;2413693512.9836;2665021441.28606;167566520.36018;126941448.488799;110720363.387334;0.0736076157723634;0.0525921985562636;0.0415457683274411
61.9083333333333;2209769252.74716;2345903059.24317;2542092330.2752;152053065.326878;137854739.752711;97607183.0594035;0.0688094764364413;0.0587640393790125;0.0383963957158223
65.6208333333333;2147900778.30227;2263605211.86947;2455137694.53846;155431605.372132;119241946.380514;119844866.451511;0.0723644252761931;0.0526778900115865;0.0488139083677913
69.4791666666667;2057075187.63581;2173966275.10004;2379215369.79103;118201704.177639;134872131.267782;106364253.583313;0.0574610519285336;0.0620396612461594;0.0447056012388886
73.275;1911759752.88597;2068191143.16681;2261903527.76834;162190858.170508;132553578.388536;112959747.017484;0.0848385148424988;0.0640915511249947;0.049940125929656
77.5541666666667;1936118164.31271;1946336508.91396;2105312493.0292;178020774.16968;134820266.082547;110893616.542498;0.0919472671921729;0.0692687340884212;0.0526732335031845
81.4125;1663318090.98848;1795405039.67732;1984598070.00373;164638699.403817;142510862.97914;129232599.633928;0.0989820890518753;0.0793753274774993;0.0651177694804898
85.2458333333333;1494893089.68942;1664084840.59219;1855641215.13716;190487076.223847;152040533.680792;123978154.034264;0.127425216918638;0.0913658546559959;0.0668114897550926
89.0708333333333;1335536876.75989;1531609360.35807;1736874764.77903;206820765.285753;161464867.560658;131458292.526323;0.154859644001381;0.105421703300971;0.0756866846085176
93.0166666666667;1174551394.59857;1390218012.21007;1593485236.56614;227335721.810988;163691908.091315;146155988.313516;0.193551106283165;0.117745495061663;0.0917209553999214
96.775;996282704.497972;1228664485.14677;1461142987.63995;244992264.765;186704835.260612;156245870.673429;0.245906371413375;0.151957542126164;0.106934004402813
100.616666666667;773887815.891165;1028707944.2344;1281257978.58738;259240406.402352;205540437.291131;170380812.725795;0.334984478472278;0.199804461939975;0.132979318430192
104.475;502665103.759127;753594322.800412;1039624670.69535;247778355.626208;230650802.045184;194134723.81623;0.492929295813901;0.306067595079629;0.186735395271434
108.620833333333;210911162.821388;424824109.511426;649156949.919084;171753603.233278;200072331.521046;207852251.80739;0.81434098098795;0.470953335843255;0.320187978936833
113.5125;35101306.4429639;119016815.141166;286794449.380576;51898921.7917037;103440359.554076;160049380.258924;1.4785467280551;0.869123908511452;0.558063032965253
118.279166666667;9131285.32652197;30320577.0811786;130584579.868634;14454593.263094;44289792.8992192;116379556.302777;1.5829746575885;1.46071734652807;0.891219747537218
123.183333333333;4204473.41990016;9628997.93133158;50409833.6784092;4913058.02880748;15497964.5984686;64509852.8669602;1.16853111867791;1.60950959892099;1.2797077109697
127.958333333333;2660366.41215366;5033507.04239191;20212532.2986112;2090027.56057202;6624875.05383602;31544483.140183;0.78561642900914;1.31615491903393;1.56063983840117
132.708333333333;1996626.54720305;3504952.90476486;9953086.30489128;1073427.81526184;3446149.43044195;15090597.1917795;0.537620726703017;0.983222749086595;1.51617264529933
