Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
4.7625;3277986246.64658;3649419972.50107;3873362367.92891;253682160.082047;338082212.002896;97166236.6720883;0.0773896352803698;0.0926399851347327;0.0250857594622739
8.5875;3184283827.83196;3533246760.99402;3828458840.52993;270736737.767016;306132430.963007;81053977.7721425;0.0850228033696825;0.0866433769479723;0.021171437685072
12.475;3078299291.28754;3441935049.06039;3675389099.41193;273404682.720359;271044013.417869;88513811.617877;0.088816796824848;0.0787475677357309;0.0240828410880468
16.4625;3064252991.30115;3302168520.52168;3636732734.52463;264476997.245806;270827023.521429;95915861.2815795;0.0863104312850822;0.0820149007654653;0.0263741848200778
20.3375;2898406535.62667;3299947918.75186;3555475975.97453;278876844.911949;202700372.911056;117773841.224753;0.0962172978441937;0.0614253248541338;0.0331246342319813
24.425;2844135105.17489;3116566016.28959;3444199548.82178;246532434.054366;273088140.780738;152392074.247113;0.0866809855853195;0.0876246931248585;0.0442460061000951
28.0958333333333;2706503809.01433;2982383067.06529;3307870127.49228;215597282.217337;256173296.487806;141577785.812552;0.0796589613135831;0.0858955039400367;0.0428002854875935
31.9125;2645904725.10786;2899234561.55464;3246898307.28261;194753979.984441;271087027.684558;165150787.376892;0.0736058173736783;0.0935029649823142;0.0508641699699891
36.0083333333333;2591621385.80935;2816186617.31713;3127236242.5633;222271377.969606;235295877.099044;154156817.218091;0.0857653742119404;0.0835512375679142;0.0492949061922273
40.0208333333333;2493072969.20321;2707410856.58799;3039838224.83323;259818640.91072;176977753.731278;162175213.944293;0.104216219950336;0.0653678968970058;0.0533499488951226
43.9416666666667;2421064711.57322;2631937799.51904;2929527941.21145;180344377.791257;202009283.868188;143293161.48771;0.0744896974166661;0.0767530615294569;0.0489133964117284
47.6041666666667;2299238260.11043;2538293835.92575;2826857485.48979;179926105.560086;192250981.654254;162701417.39502;0.0782546588066275;0.0757402389483948;0.0575555783162624
51.2166666666667;2285367141.18685;2507737000.26878;2750843948.40957;182889809.645482;161248393.591537;159653174.820156;0.0800264457948333;0.0643003606734894;0.0580378886677529
55.4541666666667;2142549189.75029;2385543277.51626;2642354689.29095;168780765.137705;186970777.416314;176904929.554875;0.0787756780311663;0.0783766025871394;0.0669497286915502
59.9041666666667;2129795056.08229;2279819412.36763;2541149565.32959;169591946.263103;165088636.556272;152333255.220833;0.079628293707782;0.0724130322168037;0.0599465916131838
64.2791666666667;2016476397.79376;2176697071.30412;2397562273.13046;168226655.973269;175142134.857375;158611399.416233;0.0834260476132165;0.08046233771631;0.0661552782982095
68.7375;1922968677.5378;2066303687.84794;2303031215.81276;166883178.39685;147148853.92233;149194497.854579;0.0867841376441608;0.0712135659379219;0.0647817957612562
